https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USDC,tradecount
1593633600000,2020-07-01 20:00:00,ETHUSDC,231.24,232.2,231.24,231.35,239.14086,55378.6261613,75
1593630000000,2020-07-01 19:00:00,ETHUSDC,231.6,232.16,230.86,231.45,298.42167,69201.7611091,97
1593626400000,2020-07-01 18:00:00,ETHUSDC,232.52,232.53,231.5,231.87,447.78402,103874.0260911,105
1593622800000,2020-07-01 17:00:00,ETHUSDC,231.76,232.73,231.33,232.38,320.01948,74277.2602001,101
1593619200000,2020-07-01 16:00:00,ETHUSDC,229.58,232.0,228.83,231.49,1276.46304,294898.3885119,258
1593615600000,2020-07-01 15:00:00,ETHUSDC,228.7,229.48,228.65,229.48,446.21117,102203.5819178,105
1593612000000,2020-07-01 14:00:00,ETHUSDC,228.49,229.18,228.32,228.52,254.68021,58301.8231265,97
1593608400000,2020-07-01 13:00:00,ETHUSDC,227.61,229.16,227.26,228.23,402.86136,91991.0066179,159
1593604800000,2020-07-01 12:00:00,ETHUSDC,227.75,227.76,226.83,227.58,136.96781,31134.7550813,84
1593601200000,2020-07-01 11:00:00,ETHUSDC,227.24,227.41,226.66,227.41,114.30796,25954.8782986,55
1593597600000,2020-07-01 10:00:00,ETHUSDC,227.69,228.04,227.25,227.37,216.9051,49381.3537485,83
1593594000000,2020-07-01 09:00:00,ETHUSDC,227.89,228.42,227.3,227.61,22.42165,5107.4391355,28
1593590400000,2020-07-01 08:00:00,ETHUSDC,225.74,228.66,225.74,227.69,106.29527,24201.7108994,76
1593586800000,2020-07-01 07:00:00,ETHUSDC,225.24,226.22,225.24,225.48,517.96059,117041.7427695,64
1593583200000,2020-07-01 06:00:00,ETHUSDC,225.58,225.58,224.76,225.28,41.59767,9367.7886885,42
1593579600000,2020-07-01 05:00:00,ETHUSDC,225.67,226.06,225.43,225.47,139.39204,31467.0883846,59
1593576000000,2020-07-01 04:00:00,ETHUSDC,225.4,225.81,225.4,225.59,241.34222,54449.8313674,72
